source_zipcode,target_zipcode,lag_1_corr,lag_2_corr,lag_3_corr,lag_4_corr,lag_5_corr,lag_6_corr
6033,32015,0.6589467984946515,0.6109548326486459,0.5641450983507944,0.5187280637512396,0.4883149582909373,0.4651552098502931
6035,32015,0.6753045514293882,0.604945726364553,0.519423934539173,0.4523630226823411,0.4182631951901225,0.4011512163083142
6037,32015,0.5012573879811263,0.48159585269105293,0.46638722531824994,0.45231045247548773,0.4334479796831302,0.4152809489583279
6039,32015,0.7878238156658607,0.744038381320121,0.6902013009384592,0.6477314974008389,0.6050488417357187,0.5743426653223079
6041,32015,0.29548387342851534,0.2741848091217325,0.25366999398607937,0.23584102531095327,0.220892249403229,0.19947948251082886
6043,32015,0.5703328292680554,0.48829202789295184,0.4008092890903059,0.352010593752905,0.3267506308633026,0.32592537372310715
6045,32015,0.6769605585693476,0.6119124788192228,0.5455874431920189,0.49526929939301656,0.4672573926036748,0.4470858701651477
6047,32015,0.747317472459717,0.6829296549059668,0.6141521916084359,0.5553950310097102,0.5167835107793469,0.4831190581079159
6049,32015,0.6577464800920261,0.5811089390662085,0.4949262987573214,0.4296204101394282,0.3965865058107767,0.39130988183110127
6051,32015,0.48840048890477006,0.5016025920739114,0.5210285540961997,0.5464713986600156,0.4947879535066404,0.4481018384259229
6053,32015,0.5648270262386993,0.45468714165514773,0.3456714422845652,0.2801124911583747,0.2671357850739624,0.27434366769016244
6055,32015,0.49885389564628585,0.45055465029654174,0.4110137765842755,0.387508698625241,0.3758601365548861,0.36230120990460757
6057,32015,0.5783726183853533,0.5412678979622044,0.5040677465844869,0.4718442639774221,0.4412941030666909,0.41324168239760956
6059,32015,0.3689855202210929,0.3504011371031892,0.33347505813123035,0.3171663032694597,0.3011689455187794,0.2790701052802448
6061,32015,0.49401140491694345,0.46269181532702575,0.43113236496502483,0.403836844751153,0.37822694998060197,0.35227937045006336
6063,32015,0.5805856313604677,0.4925511620874876,0.3872340983177873,0.3057836009244493,0.2668164607126356,0.2622898810668535
6065,32015,0.5746901497237026,0.5497772930816148,0.5359555950143886,0.528421441740261,0.5260327128590111,0.5180561841081796
6067,32015,0.456403416112187,0.42951969435568355,0.4054681901048126,0.3862916185233933,0.3702592500633623,0.3488356885819819
6069,32015,0.659260151803555,0.6070890147996866,0.5469033297441143,0.4915148284223028,0.4468779532946759,0.41316692332686056
