County,AR_RMSE,SARIMA_RMSE,GAT_RMSE,Ensemble_RMSE,Ensemble_MAE,AR_Ens,SAR_Ens,GAT_Ens,GCN_RMSE,GCN_MAE,AR_GCN,SAR_GCN,GAT_GCN
Alameda County,0.260049703,0.146184402,1.2398319,0.48033129,0.448255427,-84.70749417,-228.57903,61.25835365,0.970269734,0.848012745,-273.1093413,-563.7300017,21.74183178
Alpine County,0.890288914,0.953330652,0.84472126,0.848184697,0.745184455,4.729275721,11.02932701,-0.410009411,0.653820787,0.550382912,26.56083023,31.41720707,22.59922676
Amador County,0.458682234,0.188135818,0.58777094,0.305963965,0.285022824,33.29500431,-62.62930084,47.94503371,0.852538678,0.783817291,-85.86694988,-353.1506478,-45.04607492
Butte County,0.842082435,0.141943973,0.69350344,0.518738689,0.437977074,38.39811078,-265.4531281,25.20027171,0.420516901,0.330639631,50.06226427,-196.2555522,39.36340084
Calaveras County,0.560044656,0.239731133,1.0492085,0.323398917,0.258955669,42.25479816,-34.90067526,69.17686839,0.428074653,0.379877359,23.5641928,-78.56448102,59.20023013
Colusa County,1.707290989,1.318403564,11.673535,4.762471408,4.440853613,-178.9490157,-261.2301678,59.20283438,0.944633555,0.870138645,44.67061787,28.35019708,91.90790489
Contra Costa County,0.268943409,0.103550954,1.2290481,0.454766598,0.413051569,-69.09378792,-339.1718098,62.99847025,1.479846512,1.026832461,-450.2445727,-1329.099834,-20.40590694
Del Norte County,0.86344283,0.379720673,0.69656587,0.623033691,0.529761164,27.84308712,-64.07684259,10.55638562,0.73937298,0.646461904,14.36920263,-94.71496622,-6.145450419
El Dorado County,0.413808416,0.138987564,1.3646932,0.4317715,0.34979255,-4.340918077,-210.6547725,68.36127711,0.74980149,0.589552164,-81.19532162,-439.473798,45.05713883
Fresno County,1.23318846,0.229996805,2.852258,1.360692823,1.302043359,-10.33940614,-491.6137943,52.29418857,0.525780289,0.441153914,57.36415757,-128.6033011,81.56617358
Glenn County,1.131795913,0.586774166,1.6831098,1.110483833,0.974413706,1.883032043,-89.25233883,34.021902,1.271594065,1.015436649,-12.35188696,-116.709279,24.44972605
Humboldt County,0.661777613,0.239295473,0.75866485,0.330791543,0.297443895,50.01469738,-38.2356041,56.39819841,0.849056266,0.70404911,-28.29933332,-254.8150138,-11.91453849
Imperial County,0.7290491,0.387025702,11.580911,4.016442602,4.007440634,-450.9152402,-937.771544,65.31842269,1.512322988,1.270294547,-107.4377415,-290.7551824,86.94124333
Inyo County,0.516512987,0.292567004,1.6739776,0.437149161,0.345500528,15.36531086,-49.418477,73.88560269,0.811825289,0.675047219,-57.17422585,-177.4835431,51.50321673
Kern County,1.338563504,0.286318859,3.604215,1.577007225,1.495586001,-17.81340372,-450.7870605,56.24547302,0.716982493,0.634630144,46.43642304,-150.4139948,80.10711091
Kings County,1.269843926,0.363798108,3.7155194,1.643206054,1.555137697,-29.40220606,-351.6807581,55.77452632,1.167206838,0.939414501,8.082653785,-220.8391721,68.58563468
Lake County,0.843168812,0.174840768,0.9509082,0.583255965,0.492938143,30.82571873,-233.5926582,38.66327313,0.586320675,0.514991939,30.46224349,-235.3455159,38.34098018
Lassen County,1.046098655,0.650880251,1.2795147,0.930259374,0.806918293,11.07345667,-42.92327541,27.29592136,0.783653111,0.638001502,25.08802996,-20.3989689,38.75387981
Los Angeles County,0.675829712,0.323957826,0.9066177,0.563824253,0.52028445,16.57302973,-74.04248565,37.81014277,0.888760573,0.796657383,-31.50658472,-174.3445293,1.969642467
Madera County,1.153110358,0.279527013,2.6137798,1.25624575,1.16896487,-8.944104202,-349.4183715,51.93758289,1.464628809,1.338522434,-27.01549326,-423.9668229,43.96510337
