County,Ensemble_RMSE,Ensemble_MAE,AR_Weight,SARIMA_Weight,GAT_Weight,AR_Order,SARIMA_Order,SARIMA_Seasonal_Order,AR_RMSE,SARIMA_RMSE,GAT_RMSE
Yolo County,0.3428632579347914,0.2942690771408931,0.9470701234999552,0.0,0.052929876500044756,14,"(1, 0, 1)","(1, 1, 1, 12)",0.348747206081004,,1.8039604
Yuba County,0.4561495423724781,0.3255890346515682,0.8056815432821425,0.0,0.19431845671785763,14,"(1, 0, 1)","(1, 1, 1, 12)",0.36366951781739043,,1.4963127
Churchill County,0.41526685240012207,0.4011187610901226,0.9226585240531742,0.0,0.07734147594682583,12,"(1, 1, 1)","(1, 0, 0, 12)",0.20858849198284338,,2.97815
Clark County,0.5827424883116915,0.5555739804724064,0.9367426092483312,0.0,0.0632573907516688,14,"(1, 0, 0)","(0, 1, 0, 12)",0.5144693283056839,,1.8765489
Douglas County,0.4435219771445363,0.43141794034483355,0.9049204096800268,0.0,0.09507959031997315,14,"(0, 1, 0)","(1, 0, 0, 12)",0.2391753430389425,,2.4938762
Elko County,0.3388825900329475,0.3123272010330033,0.9391193937795946,0.0,0.060880606220405406,12,"(0, 1, 0)","(1, 0, 0, 12)",0.16678734551042768,,3.3306425
Esmeralda County,0.7568536164577021,0.6246553470647451,0.8513632624358358,0.0,0.14863673756416423,4,"(1, 0, 0)","(0, 1, 1, 12)",0.6144325976207602,,2.3790398
Eureka County,0.5263037614414584,0.35751215081132476,0.8888885589862823,0.0,0.11111144101371771,4,"(0, 1, 1)","(1, 0, 1, 12)",0.4318559068306785,,3.0008316
Humboldt County,0.6429613127206792,0.6307118140090472,0.9105659854829815,0.0,0.08943401451701846,4,"(0, 1, 1)","(1, 0, 1, 12)",0.4079232180107404,,3.2051952
Lander County,0.2719199557080414,0.23908962496499417,0.9464047747660821,0.0,0.053595225233917874,10,"(1, 1, 1)","(1, 0, 0, 12)",0.13560862059726542,,3.4853454
Lincoln County,0.45201116666199476,0.39648123172833616,0.8696540115824631,0.0,0.1303459884175368,14,"(1, 1, 1)","(1, 0, 0, 12)",0.2647436854556915,,2.439389
Lyon County,0.2353652718448666,0.17235004864719303,0.8964104146705395,0.0,0.10358958532946047,14,"(1, 1, 1)","(1, 0, 1, 12)",0.11927019781274778,,1.3642185
Mineral County,0.8498968773299914,0.7066105839313845,0.6183082431015444,0.0,0.3816917568984557,12,"(0, 0, 1)","(1, 0, 0, 12)",0.9346343755520838,,0.94161737
Nye County,0.4259196259633821,0.32787726209503393,0.7560688466143876,0.0,0.24393115338561255,12,"(0, 1, 0)","(1, 0, 0, 12)",0.34528319438255806,,0.9021897
Pershing County,0.43861061567671106,0.3401508622038764,0.8862158808541019,0.0,0.11378411914589814,14,"(1, 1, 1)","(1, 1, 0, 12)",0.3454299738245073,,2.2265377
Storey County,0.6443265437563055,0.5621274544161957,0.9051210637699709,0.0,0.09487893623002903,14,"(1, 1, 0)","(1, 0, 1, 12)",0.4248502447233562,,2.9067578
Washoe County,0.34091715928756117,0.3045153529786928,0.9591612016311435,0.0,0.04083879836885641,4,"(0, 1, 1)","(1, 0, 1, 12)",0.24468326263735504,,2.975723
White Pine County,0.2404226423852946,0.18652193464183786,0.9366676669299482,0.0,0.06333233307005176,14,"(1, 0, 1)","(0, 1, 1, 12)",0.144012632532749,,3.6725237
Carson City,0.34038599441003664,0.29304739203136165,0.9422848449428889,0.0,0.057715155057111084,6,"(1, 1, 1)","(1, 0, 1, 12)",0.22395699427429186,,2.5782864
